0,1,2,3
Oceanside Police Department,CA,6-10,"“We don’t use facial recognition [and] we don’t know anything about this program.” —Tom Bussey, public information officer"
Orange County District Attorney’s Office,CA,101-500,This organization did not respond to a request for comment.
Orange County Intelligence Assessment Center,CA,101-500,“Clearview AI was used during a free trial period roughly two years ago. We did not enter into a contract and currently do not use the service.” —OCIAC spokesperson
Orange County Sheriff’s Office,CA,101-500,"“Clearview AI was utilized during a 30-day trial period, however it proved not to be useful so we discontinued use, never entering a contract.” —Sgt. Dennis T. Breckner, public information officer"
Orange Police Department,CA,11-50,"“We do not use that software.” —Sgt. Phillip McMullin, spokesperson"
Oxnard Police Department,CA,11-50,"“At this time, the City of Oxnard has no responsive records for this. Per the Oxnard PD, we have not used Clearview AI.” —Simone Seydoux, assistant city clerk"
Palo Alto Police Department,CA,11-50,"“The Department never purchased the software and no one from our agency is currently using it of which we are aware. To our knowledge, photos of suspects in criminal cases were run through the software in the past using a free trial version of the software. None of the queries resulted in an arrest, and none generated any new leads.” —acting Capt. James Reifschneider"
Pechanga Gaming Commission,CA,101-500,"“Our public safety teams are always scanning for new tools that enable us to deliver the best safety for our guests. More than a year ago, a couple of security staff tried the service out and determined it was not a fit for Pechanga and let the trial expire. We were never a paying client and have no intention of using the service.” —Ciara Green, media and public relations director"
Petaluma Police Department,CA,51-100,This organization did not respond to a request for comment.
Placer County District Attorney’s Office,CA,6-10,"“Placer County District Attorney’s Office Bureau of Investigations does not use Clearview AI. An investigator received access to the Clearview system through their association with CrimeDex. That investigator has not utilized Clearview to investigate any cases, nor is it currently used by any other investigator. No arrests or investigative action have been taken as a result of a search of Clearview AI by this agency.” —Mary Green, chief investigator"
Placer County Sheriff’s Office,CA,101-500,"“I’ve looked at your questions, and I can tell you that we had a trial for Clearview AI, which did not result in any arrests. We do not currently use the tool, as it was only used for a trial in the past.” —Angela Musallam, spokesperson"
Redondo Beach Police Department,CA,6-10,This organization did not respond to a request for comment.
Redwood City Police Department,CA,1-5,"“Clearview is not, or ever has been, a software product or service used by the Redwood City Police Department.” —Gary Kirby, deputy police chief"
